學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
400144,國立臺灣戲曲學院,6,4,3,0,2,4
140222,國立臺東專科學校,142,116,123,0,8,75
010301,國立華僑高級中等學校,13,10,4,0,0,9
011301,私立淡江高中,5,2,6,0,0,11
011302,私立康橋高中,0,0,1,0,0,0
011306,私立金陵女中,0,0,1,0,0,1
011309,財團法人南山高中,5,2,1,0,0,3
011310,財團法人恆毅高中,0,1,2,0,0,1
011311,私立聖心女中,0,1,0,0,0,1
011312,私立崇義高中,18,21,19,0,0,7
011314,財團法人中華高中,0,4,6,0,2,6
011315,私立東海高中,3,3,1,0,0,2
011316,私立格致高中,1,2,0,0,0,0
011317,私立醒吾高中,11,9,10,0,0,13
011318,私立徐匯高中,0,0,1,0,0,1
011322,新北市崇光高中,1,0,1,0,0,0
011323,私立光仁高中,3,1,1,0,0,1
011324,私立竹林高中,2,2,2,0,0,1
011325,私立及人高中,0,0,0,0,0,3
011329,財團法人辭修高中,0,2,2,0,0,0
011330,新北市林口康橋國際高中,0,1,0,0,0,0
011399,私立時雨高中,0,0,0,0,0,1
013303,市立泰山高中,26,21,15,0,0,4
013304,市立板橋高中,12,15,11,0,0,9
013335,市立新店高中,11,12,11,0,0,8
013336,市立中和高中,5,6,7,0,0,6
013337,市立新莊高中,10,5,10,0,0,8
013338,市立新北高中,16,4,12,0,0,9
013339,市立林口高中,14,10,6,0,0,10
014302,市立海山高中,6,4,7,0,0,4
014311,市立三重高中,9,6,7,0,0,6
014315,市立永平高中,4,2,2,0,0,1
014322,市立樹林高中,33,34,39,0,0,28
014326,市立明德高中,12,13,8,0,0,9
014332,市立秀峰高中,11,17,9,0,0,17
014338,市立金山高中,16,17,18,0,0,9
014343,市立安康高中,5,9,9,0,0,5
014347,市立雙溪高中,2,1,1,0,0,0
014348,市立石碇高中,0,0,2,0,0,2
014353,市立丹鳳高中,7,8,9,0,0,5
014356,市立清水高中,9,4,5,0,0,5
014357,市立三民高中,5,5,7,0,0,11
014362,市立錦和高中,8,9,4,0,0,3
014363,市立光復高中,3,2,2,0,0,5
014364,市立竹圍高中,9,4,4,0,0,5
014381,市立北大高級中學,2,4,5,0,0,5
020301,國立蘭陽女中,14,20,14,0,0,7
020302,國立宜蘭高中,18,16,24,0,0,18
020308,國立羅東高中,23,13,18,0,0,21
021301,私立慧燈高中,1,3,4,0,0,2
021310,私立中道高中,2,2,2,0,0,5
024322,縣立南澳高中,54,54,42,0,0,51
024325,縣立慈心華德福實中,0,1,3,0,0,0
030305,國立中央大學附屬中壢高中,17,20,16,0,0,16
031301,桃園市懷恩高中,0,0,1,0,0,2
031309,桃園市育達高中,68,56,64,0,0,65
031310,私立六和高中,2,5,2,0,0,4
031311,桃園市復旦高中,5,0,2,0,0,3
031312,桃園市治平高中,119,105,84,0,0,73
031313,桃園市振聲高中,35,24,28,0,0,27
031317,私立光啟高中,23,26,23,0,0,28
031318,桃園市啟英高中,136,144,130,0,0,124
031319,桃園市清華高中,7,5,7,0,0,9
031320,桃園市新興高中,61,58,42,0,0,43
031323,私立至善高中,40,35,35,0,0,34
031324,桃園市大興高中,48,44,29,0,0,27
031326,私立大華高中,1,1,3,0,0,0
033302,市立龍潭高中,24,18,17,0,1,9
033304,市立桃園高中,26,21,24,0,0,25
033306,市立武陵高中,20,18,16,0,0,14
033316,市立楊梅高中,9,13,11,0,0,8
033325,市立陽明高中,16,28,17,0,0,19
033327,市立內壢高中,21,23,12,0,0,14
034306,市立南崁高中,23,20,22,0,0,12
034312,市立大溪高中,27,17,28,0,0,22
034314,市立壽山高中,32,32,40,0,0,28
034319,市立平鎮高中,38,32,26,0,0,26
034332,市立觀音高中,19,7,5,0,0,6
034335,市立新屋高級中等學校,7,6,7,0,0,4
034347,市立永豐高中,21,19,20,0,0,13
034399,市立大園國際高中,16,22,10,0,0,11
040302,國立竹東高中,22,21,19,0,0,12
040304,國立關西高中,11,10,11,0,1,14
040308,國立竹北高中,15,11,14,0,0,10
041303,私立義民高中,5,18,13,0,0,10
041305,私立忠信高中,0,0,1,0,0,0
041306,私立東泰高中,95,90,59,0,0,68
041307,私立仰德高中,26,32,20,0,0,11
044311,縣立六家高級中學,5,9,4,0,0,4
044320,縣立湖口高中,5,8,6,0,0,7
050303,國立苗栗高中,9,13,10,0,0,12
050310,國立竹南高中,10,11,11,0,0,8
050314,國立卓蘭高中,12,7,6,0,1,3
050315,國立苑裡高中,1,2,4,0,0,1
051302,私立君毅高中,14,18,6,0,0,11
051305,私立大成高中,9,9,14,0,0,3
051306,私立建臺高中,5,3,3,0,0,2
054308,縣立三義高中,2,2,2,0,0,2
054309,縣立苑裡高中,2,2,3,0,0,3
054317,縣立興華高中,3,5,6,0,0,5
054333,縣立大同高中,5,1,1,0,0,1
060322,國立興大附中,12,12,12,0,0,13
060323,國立中科實驗高級中學,4,4,3,0,0,1
061301,財團法人常春藤高中,1,0,1,0,0,0
061306,私立明台高中,14,11,13,0,1,25
061309,私立致用高中,9,4,4,0,0,2
061310,臺中市大明高中,13,6,9,0,0,7
061311,私立嘉陽高中,14,17,18,0,0,17
061313,私立明道高中,9,8,8,0,0,8
061314,私立僑泰高中,31,31,22,0,0,22
061315,私立華盛頓高中,0,2,0,0,0,0
061316,私立青年高中,59,51,47,0,0,78
061317,私立弘文高中,1,0,1,0,0,3
061318,私立立人高中,2,1,1,0,0,1
061319,私立玉山高中,26,30,42,0,1,17
061321,私立慈明高中,34,14,30,0,5,19
063303,市立大甲高中,11,6,2,0,0,8
063305,市立清水高中,11,11,3,0,0,5
063312,市立豐原高中,13,12,11,0,0,14
064308,市立后綜高中,4,7,3,0,0,9
064324,市立大里高中,7,3,5,0,0,4
064328,市立新社高中,13,9,7,0,2,7
064336,市立長億高中,6,5,4,0,0,10
064342,市立中港高中,3,4,0,0,0,5
064350,市立龍津高中,3,0,5,0,0,1
070301,國立彰化女中,2,2,7,0,0,3
070304,國立員林高中,2,6,4,0,0,3
070307,國立彰化高中,6,5,6,0,1,1
070316,國立鹿港高中,2,2,6,0,0,3
070319,國立溪湖高中,6,4,6,0,0,5
071311,私立精誠高中,1,0,0,0,0,0
071317,私立文興高中,0,2,1,0,0,0
071318,財團法人正德高中,0,1,0,0,0,1
074308,縣立彰化藝術高中,3,2,6,0,0,4
074313,縣立二林高中,0,0,1,0,0,1
074323,縣立和美高中,4,0,4,0,0,2
074328,縣立田中高中,3,0,3,0,0,1
074339,縣立成功高中,1,2,0,0,0,1
080302,國立南投高中,10,15,4,0,0,5
080305,國立中興高中,21,11,12,0,0,10
080307,國立竹山高中,7,7,7,0,0,5
080308,國立暨大附中,46,36,24,0,10,23
081311,私立五育高中,20,30,3,0,0,12
081312,私立三育高中,7,12,7,0,0,5
081314,私立普台高中,0,1,0,0,0,2
084309,縣立旭光高中,11,9,7,0,0,6
090305,國立斗六高中,4,4,2,0,0,4
090306,國立北港高中,1,0,0,0,0,1
090315,國立虎尾高中,5,5,5,0,0,1
091308,私立正心高中,0,1,2,0,0,0
091311,私立文生高中,1,0,0,0,0,0
091312,私立巨人高中,1,2,0,0,0,0
091318,財團法人義峰高中,8,10,12,0,0,11
091319,福智高中,0,0,0,0,0,1
094301,縣立斗南高中,2,2,1,0,0,1
094307,縣立麥寮高中,9,6,4,0,0,4
100301,國立東石高中,4,6,7,0,0,11
100302,國立新港藝術高中,0,1,2,0,0,0
101304,私立協同高中,1,2,2,0,0,1
104319,縣立竹崎高中,2,1,3,0,0,0
104326,縣立永慶高中,2,0,2,0,0,1
110302,國立新豐高中,2,2,0,0,0,1
110308,國立臺南大學附中,11,4,4,0,0,5
110311,國立北門高中,2,4,3,0,0,2
110312,國立新營高中,0,1,2,0,0,1
110314,國立後壁高中,4,2,1,0,0,1
110315,國立善化高中,3,6,7,0,0,7
110317,國立新化高中,2,0,3,0,0,1
110328,國立南科國際實驗高中,0,0,1,0,0,0
111318,私立鳳和高中,0,0,0,0,0,1
111320,私立港明高中,0,4,1,0,0,4
111321,臺南市興國高中,0,2,1,0,0,0
111322,私立明達高中,1,1,0,0,0,0
111323,私立黎明高中,1,2,0,0,0,1
111326,私立新榮高中,1,1,4,0,0,0
114306,市立大灣高中,1,1,1,0,0,2
114307,市立永仁高中,2,5,0,0,0,3
120303,國立鳳山高中,14,12,6,0,0,7
120304,國立岡山高中,7,7,5,0,0,1
120311,國立旗美高中,20,16,15,0,0,6
120319,國立鳳新高中,4,11,11,0,0,7
121306,財團法人新光高中,3,9,7,0,0,4
121307,財團法人普門中學,20,11,7,0,0,15
121318,私立正義高中,0,1,0,0,0,1
124302,市立文山高中,7,4,5,0,0,6
124311,市立林園高中,1,0,3,0,0,3
124313,市立仁武高中,1,4,2,0,0,1
124322,市立路竹高中,0,3,3,0,0,1
124333,市立六龜高中,2,5,7,0,0,6
124340,市立福誠高中,2,4,5,0,0,3
130302,國立屏東女中,25,32,36,0,0,29
130305,國立屏東高中,44,54,44,0,0,28
130306,國立潮州高中,43,64,66,0,0,49
130322,國立屏北高中,70,45,66,0,0,54
131307,財團法人屏榮高中,48,54,39,0,0,42
