學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
400144,國立臺灣戲曲學院,5,3,6,0,0,5
140222,國立臺東專科學校,135,148,107,0,14,53
010301,國立華僑高級中等學校,10,4,10,0,0,7
011301,私立淡江高中,2,8,11,0,0,9
011306,私立金陵女中,0,1,1,0,0,1
011309,財團法人南山高中,3,1,3,0,0,1
011310,財團法人恆毅高中,1,2,1,0,0,2
011311,私立聖心女中,1,0,1,0,0,0
011312,私立崇義高中,20,17,15,0,0,6
011314,財團法人中華高中,6,9,9,0,0,3
011315,私立東海高中,4,2,7,0,0,3
011316,私立格致高中,2,0,0,0,0,2
011317,私立醒吾高中,8,14,12,0,0,11
011318,私立徐匯高中,0,1,1,0,0,0
011322,新北市崇光高中,0,1,0,0,0,0
011323,私立光仁高中,1,1,1,0,0,0
011324,私立竹林高中,2,2,1,0,0,3
011325,私立及人高中,0,0,3,0,0,0
011329,財團法人辭修高中,2,2,0,0,0,1
011330,新北市林口康橋國際高中,1,0,0,0,0,0
011399,私立時雨高中,0,0,1,0,0,1
013303,市立泰山高中,21,15,15,0,0,9
013304,市立板橋高中,14,13,11,0,0,6
013335,市立新店高中,13,10,12,0,0,8
013336,市立中和高中,5,7,7,0,0,6
013337,市立新莊高中,5,10,12,0,0,9
013338,市立新北高中,5,12,9,0,0,4
013339,市立林口高中,9,6,15,0,0,10
014302,市立海山高中,4,6,6,0,0,5
014311,市立三重高中,6,7,8,0,0,8
014315,市立永平高中,2,2,1,0,0,2
014322,市立樹林高中,34,38,42,0,0,26
014326,市立明德高中,13,8,12,0,0,9
014332,市立秀峰高中,19,11,21,0,0,14
014338,市立金山高中,20,18,18,0,0,11
014343,市立安康高中,11,9,8,0,0,4
014347,市立雙溪高中,0,2,1,0,0,3
014348,市立石碇高中,0,3,2,0,0,0
014353,市立丹鳳高中,8,9,11,0,0,9
014356,市立清水高中,3,5,5,0,0,5
014357,市立三民高中,5,7,11,0,0,3
014362,市立錦和高中,9,4,4,0,0,5
014363,市立光復高中,2,2,6,0,0,2
014364,市立竹圍高中,3,4,7,0,0,1
014381,市立北大高級中學,4,6,5,0,0,5
020301,國立蘭陽女中,20,15,9,0,0,18
020302,國立宜蘭高中,18,23,19,0,0,20
020308,國立羅東高中,14,19,23,0,0,16
021301,私立慧燈高中,3,3,2,0,0,3
021310,私立中道高中,1,2,5,0,0,8
024322,縣立南澳高中,57,44,52,0,0,31
024325,縣立慈心華德福實中,1,3,0,0,0,0
030305,國立中央大學附屬中壢高中,20,18,18,0,0,13
031301,私立漢英高中,0,1,2,0,0,3
031309,桃園市育達高中,54,76,66,0,0,72
031310,私立六和高中,5,1,4,0,0,5
031311,桃園市復旦高中,0,2,3,0,0,2
031312,桃園市治平高中,122,81,82,0,0,67
031313,桃園市振聲高中,26,27,30,0,0,22
031317,私立光啟高中,31,31,28,0,0,33
031318,桃園市啟英高中,156,141,154,0,0,132
031319,桃園市清華高中,9,5,12,0,0,1
031320,桃園市新興高中,71,52,44,0,0,48
031323,私立至善高中,41,41,60,0,0,27
031324,桃園市大興高中,59,33,28,0,0,35
031326,私立大華高中,1,3,0,0,0,0
033302,市立龍潭高中,21,19,11,0,1,19
033304,市立桃園高中,21,24,27,0,0,23
033306,市立武陵高中,17,17,21,0,0,19
033316,市立楊梅高中,9,10,12,0,0,7
033325,市立陽明高中,26,18,22,0,0,20
033327,市立內壢高中,23,11,19,0,0,8
034306,市立南崁高中,21,22,15,0,0,21
034312,市立大溪高中,21,28,34,0,0,17
034314,市立壽山高中,35,43,43,0,0,27
034319,市立平鎮高中,34,29,29,0,0,16
034332,市立觀音高中,7,4,9,0,0,4
034335,市立新屋高級中等學校,9,8,4,0,0,0
034347,市立永豐高中,19,19,16,0,0,12
034399,市立大園國際高中,22,10,20,0,0,11
040302,國立竹東高中,21,23,16,0,0,17
040304,國立關西高中,13,11,14,0,0,9
040308,國立竹北高中,16,12,12,0,0,13
041303,私立義民高中,16,11,12,0,0,9
041305,私立忠信高中,0,0,0,0,0,3
041306,私立東泰高中,112,71,76,0,0,68
041307,私立仰德高中,36,23,17,0,0,31
044311,縣立六家高級中學,8,10,4,0,0,4
044320,縣立湖口高中,7,8,12,0,0,5
050303,國立苗栗高中,15,11,15,0,0,5
050310,國立竹南高中,12,11,10,0,0,9
050314,國立卓蘭高中,7,8,5,0,0,3
050315,國立苑裡高中,3,4,2,0,0,0
051302,私立君毅高中,14,6,12,0,0,7
051305,私立大成高中,8,13,7,0,0,12
051306,私立建臺高中,3,3,2,0,0,1
054308,縣立三義高中,2,3,2,0,0,1
054309,縣立苑裡高中,3,3,3,0,0,2
054317,縣立興華高中,5,6,5,0,0,1
054333,縣立大同高中,1,1,1,0,0,1
060322,國立興大附中,12,12,14,0,0,10
060323,國立中科實驗高級中學,5,3,2,0,0,3
061301,財團法人常春藤高中,0,1,1,0,0,7
061306,私立明台高中,15,12,27,0,4,23
061309,私立致用高中,8,5,3,0,0,10
061310,私立大明高中,6,9,7,0,0,16
061311,私立嘉陽高中,18,16,17,0,0,8
061313,私立明道高中,9,9,9,0,0,16
061314,私立僑泰高中,30,19,24,0,0,23
061315,私立華盛頓高中,2,0,0,0,0,1
061316,私立青年高中,82,55,89,0,0,45
061317,私立弘文高中,0,1,3,0,0,1
061318,私立立人高中,1,1,1,0,0,2
061319,私立玉山高中,29,42,31,0,0,18
061321,私立慈明高中,20,30,23,0,5,23
063303,市立大甲高中,6,2,8,0,0,5
063305,市立清水高中,11,3,6,0,0,10
063312,市立豐原高中,12,11,15,0,0,10
064308,市立后綜高中,8,3,9,0,0,7
064324,市立大里高中,4,6,5,0,0,8
064328,市立新社高中,12,7,9,0,0,5
064336,市立長億高中,5,4,10,0,0,7
064342,市立中港高中,3,0,5,0,0,0
064350,市立龍津高中,1,5,1,0,0,0
070301,國立彰化女中,2,7,3,0,0,5
070304,國立員林高中,7,4,3,0,0,3
070307,國立彰化高中,5,6,2,0,0,1
070316,國立鹿港高中,2,6,3,0,0,2
070319,國立溪湖高中,5,6,6,0,0,0
071317,私立文興高中,2,1,0,0,0,0
071318,財團法人正德高中,1,0,1,0,0,0
074308,縣立彰化藝術高中,2,6,4,0,0,2
074313,縣立二林高中,0,1,1,0,0,2
074323,縣立和美高中,0,4,2,0,0,3
074328,縣立田中高中,2,3,1,0,0,1
074339,縣立成功高中,1,0,1,0,0,0
080302,國立南投高中,14,4,10,0,1,11
080305,國立中興高中,14,13,11,0,0,11
080307,國立竹山高中,6,6,5,0,0,4
080308,國立暨大附中,40,25,33,0,6,15
081311,私立五育高中,20,3,13,0,0,12
081312,私立三育高中,10,7,6,0,0,8
081314,私立普台高中,1,0,2,0,0,0
084309,縣立旭光高中,8,7,6,0,0,5
090305,國立斗六高中,4,2,4,0,0,6
090306,國立北港高中,0,0,1,0,0,1
090315,國立虎尾高中,5,5,1,0,0,4
091308,私立正心高中,1,3,0,0,0,1
091312,私立巨人高中,2,0,0,0,0,0
091318,財團法人義峰高中,9,12,11,0,0,16
091319,福智高中,0,0,1,0,0,0
094301,縣立斗南高中,2,1,1,0,0,0
094307,縣立麥寮高中,6,4,4,0,0,2
100301,國立東石高中,6,8,11,0,0,5
100302,國立新港藝術高中,1,2,0,0,0,0
101304,私立協同高中,2,3,1,0,0,0
104319,縣立竹崎高中,1,3,0,0,0,2
104326,縣立永慶高中,0,2,1,0,0,3
110302,國立新豐高中,2,0,3,0,0,4
110308,國立臺南大學附中,3,4,5,0,0,5
110311,國立北門高中,4,3,3,0,0,3
110312,國立新營高中,2,2,1,0,0,1
110314,國立後壁高中,1,1,1,0,0,3
110315,國立善化高中,6,7,7,0,0,5
110317,國立新化高中,0,3,1,0,0,3
110328,國立南科國際實驗高中,0,1,0,0,0,0
111318,私立鳳和高中,0,0,1,0,0,0
111320,私立港明高中,4,1,4,0,0,1
111321,臺南市興國高中,2,1,0,0,0,1
111322,私立明達高中,1,0,0,0,0,0
111323,私立黎明高中,2,0,1,0,1,3
111326,私立新榮高中,2,4,0,0,0,1
114306,市立大灣高中,1,1,2,0,0,0
114307,市立永仁高中,5,0,3,0,0,2
120303,國立鳳山高中,12,6,7,0,0,7
120304,國立岡山高中,7,4,2,0,0,3
120311,國立旗美高中,15,16,12,0,0,14
120319,國立鳳新高中,10,11,9,0,2,11
121306,財團法人新光高中,11,9,5,0,0,2
121307,財團法人普門中學,11,7,15,0,0,10
121318,私立正義高中,1,0,1,0,0,0
124302,市立文山高中,4,6,7,0,0,5
124311,市立林園高中,0,2,4,0,0,1
124313,市立仁武高中,4,2,1,0,0,4
124322,市立路竹高中,1,3,1,0,0,2
124333,市立六龜高中,4,7,11,0,0,8
124340,市立福誠高中,4,5,3,0,0,2
130302,國立屏東女中,32,35,30,0,0,24
130305,國立屏東高中,54,43,35,0,0,29
130306,國立潮州高中,61,68,53,0,0,48
130322,國立屏北高中,48,67,63,0,0,74
131307,財團法人屏榮高中,51,36,43,0,0,52
131308,私立陸興高中,9,16,17,0,0,20
131311,私立美和高中,15,23,16,0,0,29
134304,縣立大同高中,15,12,13,0,0,9
134321,縣立枋寮高中,24,29,25,0,0,13
134324,縣立東港高中,4,4,3,0,0,4
134334,縣立來義高中,51,53,54,0,0,30
140301,國立臺東大學附屬體育高中,59,44,58,0,0,50
140302,國立臺東女中,67,67,66,0,0,64
140303,國立臺東高中,86,88,87,0,0,66
141301,臺東縣均一高中,5,20,5,0,0,8
141307,私立育仁高中,10,14,20,0,0,22
144322,縣立蘭嶼高中,16,22,19,0,0,13
150302,國立花蓮女中,65,62,88,0,0,78
150303,國立花蓮高中,87,76,84,0,0,82
150309,國立玉里高中,81,92,84,0,0,50
151306,私立海星高中,132,126,128,0,0,113
151307,私立四維高中,181,180,202,0,0,216
151312,財團法人慈濟大學附中,12,7,6,0,0,4
154301,花蓮縣立體育高中,41,35,19,0,0,25
154399,縣立南平中學,0,0,0,0,0,1
160302,國立馬公高中,0,0,0,0,0,2
170301,國立基隆女中,10,7,4,0,0,7
170302,國立基隆高中,2,2,1,0,0,2
